text,category
"رحنا زرنا أقاربنا بالمحافظات",daily_life
"الماي انقطع من الصبح",daily_life
"سديت البردة لأن الشمس قوية",daily_life
"الولد ديصلحون الماطور مال المي",daily_life
"سولفنا هواية البارحة بالليل",daily_life
"اليوم راسي يوجعني من الدوخة",daily_life
"خليت العطر وطلعت بسرعة",daily_life
"لبست القماصل لأن الجو برد",daily_life
"اشتريت مسواك للبيت من السوك",shopping
"بيش هذا القميص العارضيه بالجامخانة؟",shopping
"السعر كلش غالي، ماكو خصم؟",shopping
"أريد قياس أكبر من هذا إذا متوفر",shopping
"هذا اللون ما عجبني، عندكم غيره؟",shopping
"انطيني كيلوين طماطة وكيلو خيار",shopping
"اللحم اليوم شلونه، زين لو بي شحم هواي؟",shopping
"أريد بطل زيت وقونية تمن",shopping
"حاسبني على ذني الأغراض شكد صارن؟",shopping
"اكو خدمة توصيل لو بس استلام من المحل؟",shopping
"الباكيت هذا شكد بي قطع؟",shopping
"انطيني كرت أبو العشيرة رصيد",shopping
"هذا الجهاز بي ضمان لو بدون؟",shopping
"السوك اليوم كلش مزدحم وماكو محط رجل",shopping
"أريد أرجع هاي القطعة لأن طلعت صغيرة",shopping
"عندكم ملابس شتوية لو بعدكم ما منزلين؟",shopping
"هذا القماش زين لو يتقلص بالغسل؟",shopping
"الأسعار طارة نار محد يكدر يشتري",shopping
"أريد عطر ريحته هادئة مو قوية",shopping
"اشتريت حذاء رياضي كلش مريح",shopping
"شكد سعر الكيلو مال التفاح؟",shopping
"انطيني نص كيلو لحم مثروم",shopping
"هذا الموديل قديم أريد شي أحدث",shopping
"اريد لفة كص دجاج وياها ببسي",shopping
"حطلي الأغراض بعلاكة فدوة",shopping
"شنو العروض اللي مسويها هالأسبوع؟",shopping
"الدول��ر صعد والأسواق كلها غلت",shopping
"أريد صابون وشامبو مال أطفال",shopping
"انطيني باكيتين چكايير قصب",shopping
"المحل يفتح الصبح لو بس العصر؟",shopping
"بقت بس هاي القطعة لو اكو بالمخزن؟",shopping
"اريد هدية مرتبة لواحد عزيز علية",shopping
"شكد يكلف تصليح الشاشة مال الموبايل؟",shopping
"عندكم توصيل للمحافظات الجنوبية؟",shopping
"هذا الذهب عيار 21 لو 18؟",shopping
"وزنلي هاي الصينية شكد تطلع",shopping
"البياع جان كلش حبّاب وأسلوبه حلو",shopping
"السوك عزل وراح نرجع للبيت",shopping
"اريد قوطية معجون وسط مو جبيرة",shopping
"طلعلي فلوس خردة لأن ما عندي",shopping
"عندك صرف ورقة أم المية؟",shopping
"المكياج هذا أصلي لو تقليد؟",shopping
"أريد نظارات شمسية تلوق لوجهي",shopping
"اشتريت غراض المدرسة للجهال",shopping
"انطيني دستة دفاتر وقلمين جاف",shopping
"هذا الجاكيت كلش ثخين ويدفي",shopping
"المحل نظيف وترتيبه يفتح النفس",shopping
"خليلي هذا الغرض على صفحة هسة أرجعلك",shopping
"شكد نهايته هذا، راعينا بالسعر",shopping
"اخذت مسواك الأسبوع كله",shopping
"اليوم الدوام جان كلش متعب",work
"المدير طلب مني أخلص التقرير بسرعة",work
"الراتب تأخر هالشهر وما نزل",work
"عندي اجتماع مهم الساعة عشرة الصبح",work
"الطابعة عطلت ودا انتظر المصلح",work
"قدمت إجازة يومين لأن مريض",work
"الموظف الجديد بعده ما متعود عالشغل",work
"الإنترنت بالدائرة كلش ضعيف اليوم",work
"كملت كل المعاملات اللي عندي",work
"أريد استلم الكتب الرسمية من الصادر",work
"الترقية مالتي طلعت البارحة وفرحت بيها",work
"دزيت الإيميل للشركة وأنتظر ردهم",work
"عندي شغل إضافي اليوم راح أتأخر",work
"المراجعين هواية والوضع مخربط",work
"وقعت العقد وية الشركة الجديدة",work
"الدوام يبدي بثمانية ونص بالضبط",work
"أخذت استراحة ربع ساعة أشرب جاي",work
"الراتب ميكفي لنهاية الشهر",work
"الشغل يحتاج تركيز وهدوء",work
"زميلي بالشغل ساعدني أخلص المهمة",work
"قدمت استقالتي لأن لقيت فرصة أحسن",work
"المكتب مالتنا بارد والتبريد عالي",work
"السيستم وكف وما نكدر نمشي معاملات",work
"اليوم عدنا تفتيش من الوزارة",work
"العميد وافق على طلب النقل مالتي",work
"حضرت الورشة التدريبية واستفاديت هواي",work
... (truncated for brevity in preview)
