text,label
"الأوديو ما يشتغل بالملف المرفق",negative
"حجزت موعد طبيب للأسبوع الجاي",neutral
"فخورين بيكم وبكل المخرجات",positive
"الخدمات بالمنطقة كلش متدنية",negative
"شريت غرض جديد للبيت",neutral
"الشرح وافي والمادة كلش ممتعة",positive
"المحل قفل قبل الوقت المحدد",negative
"مسحت الملفات القديمة من الجهاز",neutral
"الله يجازيكم خير على المساعدة",positive
"السيارة تصرف بنزين هواية",negative
"نزلت التحديث الجديد اليوم",neutral
"المكان هادئ ويساعد على التركيز",positive
"الطلبية انلغت بدون أي إشعار",negative
"كتبت العنوان بالورقة المرفقة",neutral
"عاشت الهمة وبانتظار القادم",positive
